Team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Yellow_cards,Red_cards,Possessions(%),Pass_Success(%),A_Won,Rating,Shot_allowed,Tackles_pg,Intercept_pg,Fouls_pg,Offsides_pg,Shots_OT_pg,Dribbles_pg,Fouled_pg,xG,Goals-OG,xGDiff,Shots,xG/shots,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Yellow,Red,Clearances_Total,ShotsBlocked,CrossesBlocked,PassesBlocked,Saves_Total,Saves_SixYardBox,Saves_PenaltyArea,Saves_OutOfBox,Shots_Total,Shots_OutOfBox,Shots_SixYardBox,Shots_PenaltyArea,Goals_Total,Goals_SixYardBox,Goals_PenaltyArea,Goals_OutOfBox,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Aerial_Total,Won,Lost,Passes_Total,AccLB,InAccLB,AccSP,InAccSP,Key passes_Total,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Assists_Total
Napoli,38,28,6,4,77,28,49,90,77,47,1,62.1,87.8,12.8,6.81,9.6,15,7.6,10.2,1.6,5.9,8.9,12.3,68.51,75,6.49,615,0.11,15,7,22,12.3,1.2,0,12.1,2.5,1,7.3,2.1,0.1,1.1,0.9,16.2,5.1,1.3,9.8,2,0.4,1.5,0.1,12.1,8.9,21,14.9,8.9,23.4,12.8,10.7,600.1,27.8,18.3,499.2,54.7,12.9,1.7,11.2,0.5,0.2,0.1,0,0,0.9,1.5
Lazio,38,22,8,8,60,30,30,74,60,87,2,52.2,85.4,10.7,6.74,12.2,15.3,8.2,10.5,1.4,4.5,7.5,12.4,50.61,59,8.39,438,0.12,15.3,9.1,24.4,12.4,2.3,0.1,14.9,3.3,1.4,8.2,2.6,0.2,1.3,1.1,11.5,4.2,0.8,6.6,1.6,0.3,1.1,0.2,8.7,7.5,16.2,13.9,7.6,20.8,10.7,10.1,532.8,28.1,20.7,427.1,56.9,8.6,1.1,7.4,0.2,0.1,0.3,0,0,0.5,1
Inter,38,23,3,12,71,42,29,72,71,62,3,55.7,85.6,13.3,6.71,11.2,15.1,8.3,11.7,1.8,5.4,5.8,10.7,70.43,68,-2.43,630,0.11,15.1,7,22.1,10.7,1.6,0.1,13.3,2.9,1.3,7.2,2.6,0.1,1.6,0.9,16.6,5.6,1.7,9.3,1.9,0.5,1.1,0.3,7.3,5.8,13.1,13.3,6.8,24.2,13.3,10.9,512,29.9,23.6,408.3,50.2,12.6,2.3,10.3,0.2,0.1,0.2,0,0,0.9,1.3
AC Milan,38,20,10,8,64,43,21,70,64,86,2,55.6,82.6,14.8,6.70,10.7,18.2,7.6,11.8,1.6,4.9,9.7,11.5,65.33,61,-4.33,551,0.12,18.2,6.9,25.1,11.5,2.3,0.1,13.1,3.3,1.4,6.9,2.1,0.1,1.2,0.8,14.5,5.3,1,8.2,1.7,0.3,1.1,0.2,11.4,9.7,21.1,15.7,8.4,27.5,14.8,12.7,473.6,29.9,25.6,361.4,56.6,11,2,9,0.3,0.1,0.2,0,0,0.8,1.3
Atalanta,38,19,7,12,66,48,18,64,66,81,3,49.9,80.6,15.2,6.67,11.8,16.7,11.1,12.4,1.5,4.7,9,10.1,60.26,64,3.74,514,0.12,16.7,8.7,25.4,10.1,2.1,0.1,15.4,2.4,1,9.5,2.8,0.1,1.3,1.4,13.5,4.7,0.8,8,1.7,0.3,1,0.3,11.7,9,20.7,16.3,10.2,28.1,15.2,12.8,464.9,25.2,29.4,349.6,60.7,10.7,1.8,8.8,0.2,0,0.1,0,0,0.9,1.1
Roma,38,18,9,11,50,38,12,63,50,78,4,48.1,81.3,14.4,6.64,10.4,16.4,9.7,11.7,1.5,4.4,7.3,13.3,60.17,50,-10.17,498,0.12,16.4,8.7,25.1,13.3,2.1,0.1,14.4,3,1.2,7.3,2.1,0.1,0.8,1.2,13.1,4.5,1.4,7.2,1.3,0.2,0.8,0.3,10.6,7.3,17.9,14.7,8.4,25.9,14.4,11.4,426.2,28.1,27.6,318.4,52.2,9.7,2,7.7,0.3,0.1,0.1,0,0,0.4,0.9
Juventus,38,22,6,10,56,33,23,62,56,72,6,49.4,83.6,12.8,6.71,12.3,15.6,8.1,12,1.6,4.7,7.7,10.8,56.71,56,-0.71,535,0.11,15.6,7.1,22.7,10.8,1.9,0.2,17.4,3.4,1.5,7.6,2.6,0.1,1.2,1.3,14.1,4.9,1.2,8,1.5,0.3,0.9,0.2,8.8,7.7,16.5,15.3,9.2,25.5,12.8,12.6,447.6,30.3,23.9,344,49.4,10.6,2.4,8.2,0.4,0.1,0.1,0,0,0.5,1.1
Fiorentina,38,15,11,12,53,43,10,56,53,89,3,56.4,82.3,15.5,6.60,9.1,15.3,6.8,12.8,1.5,4.9,8.5,13.4,58.79,51,-7.79,603,0.1,15.3,6.6,21.8,13.4,2.3,0.1,11.9,2.2,0.9,7.2,2.1,0.1,1.5,0.5,15.9,5.7,0.9,9.2,1.4,0.3,0.9,0.1,10,8.5,18.5,15.1,9.1,29.2,15.5,13.7,455.3,34.3,28.9,340.5,51.7,12.2,2.2,10,0.3,0.1,0.1,0,0,0.6,1
Bologna,38,14,12,12,53,49,4,54,53,81,3,55.0,83.0,9.8,6.60,12.7,17,7.9,12.6,2,4.2,7.2,11.2,47.01,52,4.99,485,0.1,17,8.5,25.5,11.2,2.1,0.1,15.8,3.4,1.7,7.4,3.1,0.3,1.8,1,12.8,5.9,1,5.9,1.4,0.2,0.9,0.2,7.9,7.2,15.1,15.3,8,21.7,9.8,11.9,496.7,27.9,25.6,384.3,58.9,9.8,1.9,7.9,0.3,0.1,0.3,0,0,0.5,1.1
Torino,38,14,11,13,42,41,1,53,42,81,0,53.3,81.1,15.6,6.57,11.4,12.4,7.7,13.3,2.1,3.9,8.1,10.1,47.11,41,-6.11,446,0.11,12.4,4.6,17,10.1,2.1,0,15.5,2.9,1.5,6,2.5,0.1,1.2,1.2,11.7,3.7,0.9,7.1,1.1,0.2,0.7,0.1,9.6,8.1,17.7,16.3,8.3,32.2,15.6,16.6,466.3,24.4,33.9,353.9,54,9.9,1.4,8.4,0.2,0,0.1,0.1,0,0.6,0.9
Monza,38,14,10,14,48,52,-4,52,48,88,4,55.6,84.6,11.8,6.55,12.8,15.7,8.8,12.9,1.8,3.8,7.4,13,45.94,46,0.06,412,0.11,15.7,7.7,23.3,13,2.3,0.1,16.4,3.2,1.3,6.8,3.2,0.3,2,0.9,10.8,3.9,0.9,6.1,1.3,0.3,0.8,0.2,8.3,7.4,15.7,15.1,8.1,23.4,11.8,11.6,502.8,29.6,25.4,395.9,51.9,8.2,1.4,6.8,0.2,0.1,0.1,0,0,0.5,0.8
Udinese,38,11,13,14,47,48,-1,46,47,86,3,47.5,81.8,12.7,6.58,12.3,17.1,8.3,12.6,1.3,4,8.7,12.5,47.98,46,-1.98,505,0.1,17.1,8.1,25.2,12.5,2.3,0.1,17.4,3.4,1.8,8.1,2.4,0.3,1.4,0.7,13.3,5.4,0.8,7.1,1.2,0.3,0.8,0.2,11.6,8.7,20.3,16.9,8.8,23.4,12.7,10.7,403.3,27.9,24.3,301.9,49.3,10.1,1.6,8.6,0.3,0.1,0.2,0.1,0,0.6,1.1
Sassuolo,38,12,9,17,47,61,-14,45,47,84,6,49.1,82.5,9.9,6.48,12.7,13.2,7.3,10.7,1.1,4.5,7.9,11.7,51.48,46,-5.48,487,0.11,13.2,6.4,19.7,11.7,2.2,0.2,15.8,3.2,1.8,6.6,1.9,0.2,1,0.7,12.8,4.6,0.7,7.5,1.2,0.2,0.9,0.1,9.3,7.9,17.2,14,9.6,21.6,9.9,11.7,437.9,30.4,25.2,331,51.3,9.8,1.2,8.6,0.3,0.1,0.1,0,0,0.4,0.8
Empoli,38,10,13,15,37,49,-12,43,37,82,7,47.1,80.3,11.5,6.53,16.1,15.9,7.4,11.6,1.4,3.4,8.2,12.1,40.85,35,-5.85,449,0.09,15.9,7.5,23.4,12.1,2.2,0.2,22.5,4.8,2.2,7,2.9,0.1,1.9,0.9,11.8,4.7,0.8,6.3,1,0.3,0.5,0.2,10.3,8.2,18.6,14.5,9.8,25.2,11.5,13.7,399.4,23.5,28.2,297.1,50.6,8.5,1.1,7.4,0.2,0.1,0,0,0,0.3,0.5
Salernitana,38,9,15,14,48,62,-14,42,48,84,4,44.6,78.7,14,6.51,15.6,15.4,8.7,12.4,1.8,3.1,6.9,11.6,35.84,46,10.16,383,0.09,15.4,8.2,23.6,11.6,2.2,0.1,18.3,4.1,1.4,6.6,3.5,0.4,2.3,0.8,10.1,4.3,0.7,5,1.3,0.2,0.7,0.3,8.8,6.9,15.8,14.8,8,29.5,14,15.5,395.5,23.3,31.3,287.9,52.9,7.4,1.2,6.2,0.2,0,0.1,0.1,0,0.6,0.9
Lecce,38,8,12,18,33,46,-13,36,33,85,2,40.8,72.4,14.9,6.49,11.8,18.6,9.7,14.6,1.8,3,6.3,11.6,37.35,31,-6.35,418,0.09,18.6,7.9,26.4,11.6,2.2,0.1,21.1,2.9,1.4,9.8,3,0.1,1.8,1,11,4.7,0.6,5.7,0.9,0.1,0.6,0.1,8.4,6.3,14.7,16.5,8.7,34.2,14.9,19.2,331.1,23.2,37.4,216.4,54.1,8.2,1.6,6.7,0.1,0,0,0,0,0.4,0.6
Spezia,38,6,13,19,31,62,-31,31,31,95,6,46.9,77.1,14.1,6.43,15.8,16.4,7.9,13.7,1.4,3.3,7.3,10,41.76,29,-12.76,423,0.1,16.4,8.3,24.7,10,2.5,0.2,21,4.2,1.3,7.8,3.3,0.2,1.9,1.2,11.1,4.6,0.8,5.7,0.8,0.1,0.5,0.1,9.9,7.3,17.2,17.3,9.6,29.2,14.1,15.1,386.6,20.9,32.8,277.1,55.8,7.6,1.1,6.6,0.1,0,0.1,0,0,0.3,0.5
Verona,38,7,10,21,31,59,-28,31,31,104,3,40.5,70.7,21.4,6.47,14.2,15.9,8.9,14.2,2,3.2,7.2,10.1,37.4,29,-8.4,416,0.09,15.9,7,22.9,10.1,2.7,0.1,18.9,3.8,1.1,7.9,3.4,0.1,1.7,1.5,10.9,4.6,0.9,5.4,0.8,0.2,0.4,0.1,9.3,7.2,16.5,15.2,8.7,40.9,21.4,19.4,322,25.4,33.8,202.1,60.7,8,1.5,6.5,0.2,0.1,0.1,0,0,0.3,0.6
Cremonese,38,5,12,21,36,69,-33,27,36,81,3,41.4,75.0,14.8,6.47,15.3,18.5,10.3,12.1,1.8,3.5,6.3,10.7,37.88,35,-2.88,465,0.08,18.5,9.7,28.2,10.7,2.1,0.1,19.3,3.6,1.4,7.8,4.1,0.3,2.2,1.6,12.2,4.7,0.5,7.1,0.9,0.2,0.7,0.1,8.7,6.3,15,14.6,7.8,34.2,14.8,19.4,351.7,21.1,34.3,242.7,53.7,8.6,1.8,6.7,0.1,0,0,0,0,0.4,0.5
Sampdoria,38,3,10,25,24,71,-47,19,24,104,3,45.6,78.2,16.4,6.41,15.8,15.5,8.3,13.3,1.4,3.1,6.8,13.5,34.83,23,-11.83,378,0.09,15.5,7.8,23.3,13.5,2.7,0.1,17.2,4,1.2,7.3,3.8,0.1,2.7,1.1,9.9,3.7,0.5,5.8,0.6,0.1,0.4,0.1,7.4,6.8,14.2,15.1,8.8,33.4,16.4,17,394.7,25.2,29.7,283.3,56.4,7.2,1.1,6.1,0.1,0,0.1,0,0,0.3,0.4
