player_name,team_name,Total_Key passes,Long,Short
Armand Laurienté,Lorient,3,0,3
Lionel Messi,Paris Saint-Germain,2.9,0.6,2.3
Kylian Mbappé,Paris Saint-Germain,1.6,0.1,1.6
Martin Terrier,Rennes,1.6,0.1,1.6
Neymar,Paris Saint-Germain,2.5,0.4,2.1
Sofiane Diop,Monaco,3,1,2
Dango Ouattara,Lorient,1.3,0.1,1.2
Alexandre Lacazette,Lyon,1.4,0.1,1.3
Rémy Cabella,Lille,3.2,0.6,2.5
Lucas Paquetá,Lyon,1.5,0.5,1
Téji Savanier,Montpellier,1.9,0.8,1.1
Enzo Le Fée,Lorient,1.9,0.5,1.4
Romain Faivre,Lorient,1.1,0.1,0.9
Terem Moffi,Nice,1.7,0,1.7
Joaquín Blázquez,Brest,0,0,0
Jonathan David,Lille,1.4,0.1,1.4
Benjamin André,Lille,0.6,0.1,0.5
Benjamin Lecomte,Montpellier,0.1,0,0.1
Benjamin Bourigeaud,Rennes,2.6,0.8,1.8
Issiaga Sylla,Montpellier,1.1,0.1,1
Florian Sotoca,Lens,1.6,0.2,1.3
Amine Gouiri,Rennes,1.1,0.1,1.1
Gaëtan Laborde,Nice,1.3,0.2,1.2
Aleksandr Golovin,Monaco,1.7,0.4,1.3
Seko Fofana,Lens,1,0.1,0.9
Kiki Kouyaté,Montpellier,0.1,0,0.1
Ghjuvanni Quilichini,AC Ajaccio,0,0,0
Andrei Girotto,Nantes,0.4,0.1,0.3
Edon Zhegrova,Lille,1.4,0.5,0.9
Donovan Léon,Auxerre,0,0,0
Branco van den Boomen,Toulouse,2.5,1.2,1.3
Jérémy Doku,Rennes,1,0,1
Jean-Ricner Bellegarde,Strasbourg,1.9,0.5,1.4
Steve Mounié,Brest,0.6,0,0.6
Wissam Ben Yedder,Monaco,0.8,0,0.8
Fabien Centonze,Nantes,0.5,0.1,0.4
Nathan Ngoumou,Toulouse,1,0,1
Sofiane Boufal,Angers,2.1,0.4,1.7
Nuno Mendes,Paris Saint-Germain,1,0,1
Maxence Caqueret,Lyon,1.7,0.3,1.4
Alexis Sánchez,Marseille,1.6,0.2,1.4
Habib Diallo,Strasbourg,0.7,0,0.7
Nabil Bentaleb,Angers,1.1,0.4,0.7
Przemyslaw Frankowski,Lens,1.8,0.4,1.5
Ludovic Blas,Nantes,1.3,0.3,0.9
Terem Moffi,Lorient,0.5,0,0.5
Valentin Rongier,Marseille,0.9,0.1,0.8
Franck Honorat,Brest,2.7,0.8,1.9
Loïs Openda,Lens,0.6,0,0.6
Rayan Cherki,Lyon,2,0.4,1.6
Pierre Lees-Melou,Brest,0.5,0.1,0.4
Hicham Boudaoui,Nice,0.9,0.1,0.8
Nicolas Pépé,Nice,1.5,0.5,1
Jonathan Clauss,Marseille,1.4,0.1,1.3
Jonathan Gradit,Lens,0.4,0.2,0.2
Dante,Nice,0.3,0.1,0.2
Yunis Abdelhamid,Reims,0.4,0,0.3
Rasmus Nicolaisen,Toulouse,0.1,0,0.1
Achraf Hakimi,Paris Saint-Germain,1.2,0.1,1.1
Yehvann Diouf,Reims,0,0,0
Kevin Danso,Lens,0.3,0,0.2
Bradley Barcola,Lyon,1,0,1
Marco Verratti,Paris Saint-Germain,1.1,0.1,1
Vanderson,Monaco,0.9,0.1,0.7
Kenny Lala,Brest,1.4,0.7,0.7
Tetê,Lyon,0.6,0.1,0.5
Adrien Thomasson,Lens,1,0.1,0.9
Alexander Djiku,Strasbourg,0.4,0.1,0.3
Caio Henrique,Monaco,1.5,0.4,1.1
Karl Toko-Ekambi,Lyon,1.4,0.2,1.2
Jonathan Bamba,Lille,1.4,0,1.4
Dejan Lovren,Lyon,0.1,0,0.1
Neto Borges,Clermont Foot,0.8,0.1,0.7
Khéphren Thuram,Nice,1,0.1,1
Folarin Balogun,Reims,1,0.1,0.9
Azor Matusiwa,Reims,0.8,0.1,0.7
Mateusz Lis,Troyes,0,0,0
Youssouf Fofana,Monaco,0.9,0.1,0.8
Fabián Ruiz,Paris Saint-Germain,0.6,0,0.6
Junya Ito,Reims,1.9,0.3,1.6
Romain Del Castillo,Brest,1.3,0.7,0.7
Gianluigi Donnarumma,Paris Saint-Germain,0,0,0
Marshall Munetsi,Reims,0.9,0.1,0.9
Youcef Belaïli,AC Ajaccio,1.2,0.1,1.1
Paul Joly,Auxerre,0.7,0.3,0.4
Cengiz Ünder,Marseille,1.5,0.3,1.2
Elye Wahi,Montpellier,0.7,0,0.7
Rony Lopes,Troyes,1.6,0.8,0.8
Nicolás Tagliafico,Lyon,0.7,0.1,0.6
Malo Gusto,Lyon,1.1,0.3,0.8
Benoît Badiashile,Monaco,0.1,0.1,0
Gaëtan Laborde,Rennes,0.8,0,0.8
Morgan Sanson,Strasbourg,1,0.2,0.8
Nuno Tavares,Marseille,0.8,0.1,0.6
Jordan Veretout,Marseille,0.9,0.3,0.6
Baptiste Santamaría,Rennes,0.5,0.1,0.4
Rafael Ratão,Toulouse,1,0,1
Frédéric Guilbert,Strasbourg,0.9,0.2,0.7
Axel Disasi,Monaco,0.2,0,0.2
Samuel Gigot,Marseille,0.2,0,0.2
Breel Embolo,Monaco,0.9,0,0.8
Adrien Truffert,Rennes,0.8,0.1,0.7
Ismaily,Lille,0.9,0,0.8
Corentin Tolisso,Lyon,1.1,0.1,1
Jaouen Hadjam,Nantes,0.5,0,0.5
Alexis Flips,Reims,1.3,0.5,0.8
Mory Diaw,Clermont Foot,0.1,0.1,0
Nathan Zézé,Nantes,0,0,0
Hamari Traoré,Rennes,0.7,0,0.7
Djed Spence,Rennes,0.3,0,0.3
Sergio Ramos,Paris Saint-Germain,0.1,0,0.1
Jordan Lotomba,Nice,0.5,0,0.5
Chancel Mbemba,Marseille,0.1,0,0.1
Angelo Fulgini,Lens,1.6,0.4,1.2
Stijn Spierings,Toulouse,0.6,0.2,0.4
Pau López,Marseille,0.1,0.1,0
Alban Lafont,Nantes,0,0,0
Luis Suárez,Marseille,0.4,0,0.4
Florian Tardieu,Troyes,1.1,0.4,0.7
Mikkel Desler,Toulouse,0.6,0,0.6
Facundo Medina,Lens,0.5,0,0.4
Maxime Dupé,Toulouse,0,0,0
Adam Ounas,Lille,1.2,0.1,1.1
Brendan Chardonnet,Brest,0.3,0.1,0.2
Montassar Talbi,Lorient,0.1,0,0.1
Andrei Radu,Auxerre,0.1,0.1,0
Johan Gastien,Clermont Foot,0.9,0.3,0.6
Alexsandro Ribeiro,Lille,0.1,0,0.1
Salis Abdul Samed,Lens,0.5,0,0.5
Emmanuel Agbadou,Reims,0.4,0.1,0.3
Kasper Schmeichel,Nice,0.1,0.1,0
Jean-Clair Todibo,Nice,0.1,0,0.1
Mohamed Camara,Monaco,0.6,0,0.6
Krépin Diatta,Monaco,0.8,0,0.8
Himad Abdelli,Angers,1.2,0.1,1.1
Rominigue Kouamé,Troyes,0.7,0.1,0.7
Brice Samba,Lens,0.1,0.1,0
Arnaud Nordin,Montpellier,0.6,0,0.5
Danilo Pereira,Paris Saint-Germain,0.1,0,0.1
Guillermo Maripán,Monaco,0.1,0,0.1
Nordi Mukiele,Paris Saint-Germain,0.5,0.1,0.5
Youcef Atal,Nice,0.6,0.3,0.3
Melvin Bard,Nice,0.3,0,0.3
Sinaly Diomandé,Lyon,0.1,0,0.1
Alidu Seidu,Clermont Foot,0.3,0.1,0.1
Faitout Maouassa,Montpellier,0.7,0.2,0.5
Jimmy Cabot,Lens,1.5,0.5,1.1
Sead Kolasinac,Marseille,0.3,0,0.3
Vitinha,Paris Saint-Germain,0.8,0.1,0.7
Christopher Jullien,Montpellier,0.2,0,0.2
Saîf-Eddine Khaoui,Clermont Foot,1.1,0.2,0.9
Jérémy Le Douaron,Brest,0.5,0,0.5
Azzedine Ounahi,Angers,1.1,0.3,0.9
Castello Lukeba,Lyon,0.1,0,0.1
Mama Baldé,Troyes,0.6,0,0.6
Gideon Mensah,Auxerre,1,0.1,0.9
Ante Palaversa,Troyes,1,0.5,0.5
Sofiane Diop,Nice,1,0.3,0.7
Jubal,Auxerre,0.1,0,0.1
Leonardo Balerdi,Marseille,0.1,0,0.1
Quentin Merlin,Nantes,1.4,0.5,1
Badredine Bouanani,Nice,1.2,0.2,1
Lovro Majer,Rennes,1.1,0.1,1
Laurent Abergel,Lorient,0.5,0.1,0.4
Deiver Machado,Lens,0.6,0,0.6
Warmed Omari,Rennes,0.3,0.1,0.2
Marquinhos,Paris Saint-Germain,0.3,0,0.3
Théo Sainte-Luce,Montpellier,0.7,0,0.7
Lucien Agoumé,Troyes,0.8,0.2,0.6
Désiré Doué,Rennes,0.6,0.1,0.5
Vito Mannone,Lorient,0,0,0
Mario Lemina,Nice,0.3,0,0.3
Angel Gomes,Lille,0.9,0.3,0.7
Arthur Theate,Rennes,0.3,0,0.2
André Gomes,Lille,0.5,0.1,0.4
Steve Mandanda,Rennes,0,0,0
Marco Bizot,Brest,0,0,0
Zakaria Aboukhlal,Toulouse,0.6,0,0.6
Farès Chaïbi,Toulouse,0.8,0.1,0.8
Jean-Charles Castelletto,Nantes,0.2,0,0.2
Aaron Ramsey,Nice,1,0.3,0.8
Tiago Djaló,Lille,0.1,0,0.1
Gédéon Kalulu,Lorient,0.8,0.1,0.7
Han-Noah Massengo,Auxerre,0.8,0,0.8
Nuno da Costa,Auxerre,0.8,0.1,0.6
Anthony Lopes,Lyon,0,0,0
Andy Delort,Nice,0.8,0.1,0.6
Jeffinho,Lyon,0.8,0,0.8
Alexander Nübel,Monaco,0,0,0
Jonas Omlin,Montpellier,0,0,0
Karl Toko-Ekambi,Rennes,0.7,0,0.7
Youssouf Ndayishimiye,Nice,0.1,0,0.1
Joris Chotard,Montpellier,0.8,0.3,0.5
Bamo Meïté,Lorient,0.1,0,0.1
Nicolas Pallois,Nantes,0.2,0,0.2
Dimitri Payet,Marseille,1.3,0.2,1.1
Bafodé Diakité,Lille,0.2,0,0.2
Chrislain Matsima,Monaco,0.1,0,0.1
Jeanuël Belocian,Rennes,0.1,0,0.1
Quentin Bernard,Auxerre,1,0.6,0.4
Lilian Brassier,Brest,0.2,0,0.2
Anthony Rouault,Toulouse,0.1,0.1,0.1
Maximiliano Caufriez,Clermont Foot,0,0,0
Cheick Keita,Reims,0.1,0.1,0
Maxime Le Marchand,Strasbourg,0.1,0.1,0
Issiaga Sylla,Toulouse,0.4,0,0.4
Grejohn Kyei,Clermont Foot,0.4,0,0.4
Thijs Dallinga,Toulouse,0.6,0,0.6
Ruslan Malinovskyi,Marseille,1,0.2,0.8
Ismaël Doukouré,Strasbourg,0.1,0.1,0
Joe Rodon,Rennes,0.1,0,0.1
Mostafa Mohamed,Nantes,0.4,0,0.4
Julien Laporte,Lorient,0.1,0.1,0
Eliesse Ben Seghir,Monaco,0.7,0,0.7
Gabriel Suazo,Toulouse,0.6,0,0.6
Vincent Le Goff,Lorient,0.4,0.1,0.3
Mahdi Camara,Brest,0.3,0,0.3
Mattéo Guendouzi,Marseille,0.6,0.1,0.5
Hamza Sakhi,Auxerre,1.4,0.4,1
Lucas Chevalier,Lille,0.1,0.1,0
Flavien Tait,Rennes,0.8,0.1,0.7
Arnaud Kalimuendo,Rennes,0.4,0,0.4
Christopher Wooh,Rennes,0.1,0,0.1
Xavier Chavalerin,Troyes,0.6,0.2,0.5
Matz Sels,Strasbourg,0,0,0
Wahbi Khazri,Montpellier,0.7,0.2,0.5
Quentin Boisgard,Lorient,0.8,0,0.8
Presnel Kimpembe,Paris Saint-Germain,0.1,0,0.1
Isaak Touré,Auxerre,0.4,0.1,0.4
Jens Cajuste,Reims,0.5,0,0.5
Thiago Mendes,Lyon,0.3,0.1,0.3
Saël Kumbedi,Lyon,0.5,0.1,0.4
Mateusz Wieteska,Clermont Foot,0.1,0,0.1
Thomas Foket,Reims,1,0,0.9
Juan Bernat,Paris Saint-Germain,0.8,0,0.8
Gauthier Gallon,Troyes,0,0,0
Thibault De Smet,Reims,0.5,0,0.5
Kevin Gameiro,Strasbourg,0.7,0,0.7
Yvon Mvogo,Lorient,0,0,0
Jackson Porozo,Troyes,0.1,0,0
Habib Diarra,Strasbourg,0.8,0.1,0.7
Birama Touré,Auxerre,0.1,0.1,0.1
Lilian Raolisoa,Angers,0.4,0,0.4
Lucas Perrin,Strasbourg,0.3,0.2,0.2
Hugo Ekitike,Paris Saint-Germain,0.4,0,0.4
Jean Lucas,Monaco,0.5,0,0.5
Cheick Oumar Konaté,Clermont Foot,0.2,0.1,0.1
Dénys Bain,Auxerre,0,0,0
Rhys Healey,Toulouse,0.5,0,0.5
Bradley Locko,Reims,0.5,0.1,0.5
José Fonte,Lille,0.1,0,0.1
Yan Valery,Angers,0.4,0.1,0.3
Elbasan Rashani,Clermont Foot,0.6,0.1,0.6
Ludovic Ajorque,Strasbourg,0.8,0.2,0.6
Loïc Badé,Rennes,1,0,1
Issa Kaboré,Marseille,0.6,0,0.5
Yahia Fofana,Angers,0,0,0
Ignatius Ganago,Nantes,0.4,0,0.4
Mounaïm El Idrissy,AC Ajaccio,0.4,0,0.4
Alexis Claude-Maurice,Lens,0.4,0,0.4
Andreaw Gravillon,Reims,0.2,0.1,0.2
Mathias Autret,Auxerre,1.2,0.5,0.7
Yusuf Yazici,Lille,2,0.5,1.5
Bingourou Kamara,Montpellier,0,0,0
Muhammed Cham,Clermont Foot,0.8,0.2,0.6
Jordan Ferri,Montpellier,0.9,0.2,0.7
Renaud Ripart,Troyes,0.8,0,0.8
Moses Simon,Nantes,1.2,0.3,0.9
Thomas Delaine,Strasbourg,0.5,0.1,0.5
Leandro Paredes,Paris Saint-Germain,0.7,0,0.7
Maxime Gonalons,Clermont Foot,0.4,0.1,0.2
Faouzi Ghoulam,Angers,1.4,0.9,0.6
Jean-Kévin Duverne,Brest,0.3,0.1,0.2
Ross Barkley,Nice,1.1,0.3,0.9
Nicolas Cozza,Montpellier,0.4,0.1,0.3
Stephy Mavididi,Montpellier,0.5,0,0.5
Jean-Louis Leca,Lens,0,0,0
Amine Harit,Marseille,1.5,0.2,1.3
Henrique,Lyon,0.1,0,0.1
Rémy Riou,Lyon,0,0,0
Edan Diop,Monaco,0.4,0,0.4
David Pereira da Costa,Lens,0.9,0,0.9
Maxime Esteve,Montpellier,0,0,0
Timothy Weah,Lille,0.6,0,0.6
Gabriel Gudmundsson,Lille,0.6,0,0.6
Mohamed Youssouf,AC Ajaccio,0.5,0.1,0.4
Igor Silva,Lorient,0.3,0,0.3
Noah Fadiga,Brest,0.1,0,0.1
Falaye Sacko,Montpellier,0.5,0.1,0.5
Dimitri Liénard,Strasbourg,1.1,0.6,0.5
Florent Mollet,Nantes,1.2,0.5,0.7
Antoine Mendy,Nice,0.5,0,0.5
Pedro Chirivella,Nantes,0.9,0.2,0.8
Akim Zedadka,Auxerre,0.7,0,0.7
Rayan Raveloson,Auxerre,0.4,0.1,0.3
Pape Gueye,Marseille,0.3,0.1,0.2
Ronaël Pierre-Gabriel,Strasbourg,0.3,0.1,0.1
