player_name,team_name,Total_Clearances
Salvatore Sirigu,Fiorentina,1
Victor Osimhen,Napoli,0.9
Khvicha Kvaratskhelia,Napoli,0.2
Francesco Bardi,Bologna,0
Sergej Milinkovic-Savic,Lazio,1.3
Paulo Dybala,Roma,0.1
Rafael Leão,AC Milan,0.2
Lautaro Martínez,Inter,0.4
Mattia Zaccagni,Lazio,0.2
Domenico Berardi,Sassuolo,0.6
Armand Laurienté,Sassuolo,0.1
Adrien Rabiot,Juventus,1.2
Teun Koopmeiners,Atalanta,1
Felipe Anderson,Lazio,0.6
Lorenzo Pellegrini,Roma,0.6
Mário Rui,Napoli,0.8
Lucas Martínez,Fiorentina,2.8
Hakan Çalhanoglu,Inter,0.2
Kim Min-Jae,Napoli,3.5
Gerard Deulofeu,Udinese,0.1
Giovanni Di Lorenzo,Napoli,1.4
Danilo,Juventus,3
Frank Anguissa,Napoli,0.7
Simone Perilli,Verona,0
Carlos Augusto,Monza,2.1
Luis Alberto,Lazio,0.1
Stefan Posch,Bologna,2
Romelu Lukaku,Inter,0.6
Ismaël Bennacer,AC Milan,0.5
Martin Turk,Sampdoria,0.3
Nicolò Barella,Inter,0.3
Armando Izzo,Monza,2.6
Piotr Zielinski,Napoli,0.2
Fabiano Parisi,Empoli,2.1
Cristiano Biraghi,Fiorentina,1.2
Bremer,Juventus,3.8
Nicolás Domínguez,Bologna,0.8
Chris Smalling,Roma,3.8
Pierluigi Gollini,Fiorentina,1
Sandro Tonali,AC Milan,0.5
Ademola Lookman,Atalanta,0
Ivan Provedel,Lazio,0.8
Fikayo Tomori,AC Milan,2.3
Juan Cuadrado,Juventus,0.7
Olivier Giroud,AC Milan,0.7
Manuel Locatelli,Juventus,1.6
Boulaye Dia,Salernitana,0.8
Andrei Radu,Cremonese,0.4
Federico Dimarco,Inter,0.4
Stanislav Lobotka,Napoli,0.4
Pierluigi Gollini,Napoli,0.3
Théo Hernández,AC Milan,1
Ibañez,Roma,2.8
Amir Rrahmani,Napoli,2.6
Destiny Udogie,Udinese,0.5
Stefan de Vrij,Inter,2.9
Ciro Immobile,Lazio,0.4
Matteo Pessina,Monza,0.9
Jaka Bijol,Udinese,5.1
Alessio Romagnoli,Lazio,3.1
Ivan Ilic,Torino,0.7
Mattia Perin,Juventus,0.1
Guglielmo Vicario,Empoli,1.4
Luigi Sepe,Salernitana,0.4
Ángel Di María,Juventus,0
Junior Messias,AC Milan,1
Rafael Tolói,Atalanta,2.7
Morten Hjulmand,Lecce,1.5
Antonio Sanabria,Torino,0.2
Rade Krunic,AC Milan,0.8
Bryan Cristante,Roma,1.4
Ardian Ismajli,Empoli,4.7
Leo Østigård,Napoli,2.4
Giorgos Kyriakopoulos,Sassuolo,1
Guillermo Ochoa,Salernitana,0.7
Davide Zappacosta,Atalanta,0.7
Davide Frattesi,Sassuolo,1.1
Lukasz Skorupski,Bologna,0.9
Brahim Díaz,AC Milan,0.1
Christian Kouamé,Fiorentina,0.2
Francesco Acerbi,Inter,2.5
Nicolás González,Fiorentina,0.3
Stephan El Shaarawy,Roma,0.3
Michele Di Gregorio,Monza,0.8
Jérémie Boga,Atalanta,0
Marcelo Brozovic,Inter,0.9
Nicolò Rovella,Monza,0.6
Emil Audero,Sampdoria,0.6
Filip Kostic,Juventus,0.7
Marten de Roon,Atalanta,1.6
Nikola Milenkovic,Fiorentina,2.7
Davide Calabria,AC Milan,1.2
Roberto Pereyra,Udinese,0.6
Wojciech Szczesny,Juventus,0.6
Hirving Lozano,Napoli,0.1
Riccardo Orsolini,Bologna,0.4
Alessandro Buongiorno,Torino,2.9
Juan Jesus,Napoli,1.9
Gabriel Strefezza,Lecce,0.3
Malick Thiaw,AC Milan,3.3
Edin Dzeko,Inter,0.8
Ivan Ilic,Verona,1.2
Dusan Vlahovic,Juventus,0.3
Tammy Abraham,Roma,0.4
Rodrigo Becão,Udinese,2.2
Razvan Marin,Empoli,1
Marco Carnesecchi,Cremonese,0.7
Patrick Ciurria,Monza,0.7
Pasquale Mazzocchi,Salernitana,1
Nikola Vlasic,Torino,0.3
Patric,Lazio,2.8
Milan Djuric,Verona,0.9
Lewis Ferguson,Bologna,0.8
Federico Gatti,Juventus,2.9
Michele Cerofolini,Fiorentina,0.4
André Onana,Inter,0.6
Lassana Coulibaly,Salernitana,0.9
Federico Baschirotto,Lecce,5
Rolando Mandragora,Fiorentina,0.7
Berat Djimsiti,Atalanta,3.1
Norbert Gyömbér,Salernitana,3.3
Éderson,Atalanta,0.7
Alex Sandro,Juventus,2.5
Lazar Samardzic,Udinese,0.4
Marko Arnautovic,Bologna,0.5
Jerdy Schouten,Bologna,1.2
Nicolò Casale,Lazio,2.3
Giacomo Bonaventura,Fiorentina,0.1
Alex Meret,Napoli,0.4
Denzel Dumfries,Inter,0.6
Arkadiusz Milik,Juventus,0.5
Henrikh Mkhitaryan,Inter,0.5
Daniele Rugani,Juventus,3.4
Alessandro Bastoni,Inter,1.4
Adam Marusic,Lazio,1.6
Samir Handanovic,Inter,0.6
Antonio Candreva,Salernitana,0.6
Ola Aina,Torino,1
Alessandro Tuia,Lecce,4
Perr Schuurs,Torino,3.2
Andrea Ranocchia,Monza,7
Bram Nuytinck,Sampdoria,4.3
Rasmus Højlund,Atalanta,0.2
Hans Hateboer,Atalanta,1.3
Gianluca Mancini,Roma,1.8
Darko Lazovic,Verona,0.6
Sandi Lovric,Udinese,0.5
Mathías Olivera,Napoli,0.8
Beto,Udinese,0.9
Johan Vásquez,Cremonese,3.4
Koray Günter,Verona,3.5
Walace,Udinese,1.2
Nehuén Pérez,Udinese,2.8
Simone Bastoni,Spezia,0.7
Leonardo Sernicola,Cremonese,1.5
Sebastiano Luperto,Empoli,4.4
Wladimiro Falcone,Lecce,1.3
Denis Zakaria,Juventus,0.5
Ricardo Rodríguez,Torino,1.6
Nemanja Matic,Roma,0.5
Mike Maignan,AC Milan,0.6
Aleksey Miranchuk,Torino,0.2
M'Bala Nzola,Spezia,0.7
Stefano Sensi,Monza,0.1
Eljif Elmas,Napoli,0.1
Emil Holm,Spezia,1.7
Nikola Moro,Bologna,0.7
Tyronne Ebuehi,Empoli,2.5
Wilfried Singo,Torino,0.9
Dany Mota,Monza,0.9
Dodô,Fiorentina,0.8
Giorgio Scalvini,Atalanta,1.7
Ethan Ampadu,Spezia,2.9
Nicola Ravaglia,Sampdoria,0.8
Lorenzo Montipò,Verona,1.1
Pedro,Lazio,0.1
Matteo Darmian,Inter,1.1
Panagiotis Retsos,Verona,1.5
Samuel Umtiti,Lecce,3.1
Giorgos Kyriakopoulos,Bologna,0.6
Federico Fazio,Salernitana,4.3
Jakub Kiwior,Spezia,4
Mehdi Léris,Sampdoria,0.9
Musa Barrow,Bologna,0.2
Valentin Gendrey,Lecce,2.1
Simone Verdi,Verona,0.1
Samuele Ricci,Torino,0.9
Marin Pongracic,Lecce,3.3
Nicolò Cambiaghi,Empoli,0.2
Pablo Marí,Monza,3.6
Arthur Cabral,Fiorentina,0.4
Janis Antiste,Sassuolo,0
Vlad Chiriches,Cremonese,2.8
Alexis Blin,Lecce,1.9
Danilo Cataldi,Lazio,1.1
David Okereke,Cremonese,0.4
Georginio Wijnaldum,Roma,0.2
Matteo Politano,Napoli,0.2
Jhon Lucumí,Bologna,2.8
Isak Hien,Verona,2.8
José Palomino,Atalanta,1.1
Ciprian Tatarusanu,AC Milan,0.5
Martin Erlic,Sassuolo,4.1
Krzysztof Piatek,Salernitana,1.2
Nicola Zalewski,Roma,0.6
Alessandro Zanoli,Sampdoria,1.6
Federico Chiesa,Juventus,0
Weston McKennie,Juventus,0.9
Alexis Saelemaekers,AC Milan,0.2
Pierre Kalulu,AC Milan,1.4
Andrea Cambiaso,Bologna,0.8
Juan Musso,Atalanta,0.5
Bartlomiej Dragowski,Spezia,0.9
Diego Llorente,Roma,2.1
Sasa Lukic,Torino,0.6
Jonathan Ikoné,Fiorentina,0
Jean-Daniel Akpa Akpro,Empoli,0.9
Vanja Milinkovic-Savic,Torino,1
Luca D'Andrea,Sassuolo,0
Frank Tsadjout,Cremonese,0.5
Remi Oudin,Lecce,0.6
Aleksa Terzic,Fiorentina,0.7
Matteo Ruggeri,Atalanta,0.9
Merih Demiral,Atalanta,1.9
Denso Kasius,Bologna,0.3
Ruslan Malinovskyi,Atalanta,0.1
Pawel Dawidowicz,Verona,3
Matheus Henrique,Sassuolo,0.3
Fodé Ballo-Touré,AC Milan,0.3
Lorenzo Pirola,Salernitana,3.2
Cyril Ngonge,Verona,0.3
Manolo Gabbiadini,Sampdoria,0.7
Mile Svilar,Roma,0.3
Manuel Lazzari,Lazio,1
Alessandro Florenzi,AC Milan,0.2
Samuele Perisan,Empoli,0.6
Marco Silvestri,Udinese,0.8
Luka Lochoshvili,Cremonese,3.4
Ondrej Duda,Verona,0.5
Cristian Volpato,Roma,0
Rogério,Sassuolo,1.7
Leonardo Spinazzola,Roma,0.8
Filippo Bandinelli,Empoli,1.1
Luca Ranieri,Fiorentina,1.7
Tommaso Baldanzi,Empoli,0.2
Alex Ferrari,Cremonese,2.7
Isaac Success,Udinese,0.6
Marco Sportiello,Atalanta,0.7
Andrea Colpani,Monza,0.2
Gaetano Castrovilli,Fiorentina,0.3
James Abankwah,Udinese,1.5
Santiago Ascacíbar,Cremonese,0.6
Jeroen Zoet,Spezia,0.4
Caleb Okoli,Atalanta,2.6
Matías Vecino,Lazio,1.2
Francesco Caputo,Empoli,0.4
Mouhamadou Sarr,Cremonese,1.5
Fabio Depaoli,Sampdoria,1.3
Charalampos Lykogiannis,Bologna,1.1
Flavius Daniliuc,Salernitana,2.6
Kevin Agudelo,Spezia,0.2
Nadir Zortea,Atalanta,0.4
Elseid Hysaj,Lazio,0.9
Antonino Gallo,Lecce,2.1
Luka Jovic,Fiorentina,0.3
Nicolò Fagioli,Juventus,0.2
Mehdi Bourabia,Spezia,1.5
Tommaso Augello,Sampdoria,1.3
Soualiho Meïté,Cremonese,1.1
Valentino Lazaro,Torino,1
Mario Pasalic,Atalanta,0.4
Andrea Petagna,Monza,0.6
Omar Colley,Sampdoria,4.3
Przemyslaw Wisniewski,Spezia,4.7
Pietro Terracciano,Fiorentina,0.8
Simon Kjær,AC Milan,2
Arkadiusz Reca,Spezia,1.7
Alberto Grassi,Empoli,1.8
Matteo Bianchetti,Cremonese,4.3
Maxime Lopez,Sassuolo,0.6
Duván Zapata,Atalanta,0.6
Joakim Mæhle,Atalanta,0.6
Emanuel Aiwu,Cremonese,2.1
Bartosz Bereszynski,Napoli,1
Matías Soulé,Juventus,0.2
Nicola Sansone,Bologna,0.2
Luis Muriel,Atalanta,0.1
Giangiacomo Magnani,Verona,3.1
Koffi Djidji,Torino,2
Nadir Zortea,Sassuolo,1.6
Gianluca Caprari,Monza,0.1
Leonardo Bonucci,Juventus,1.7
Josh Doig,Verona,0.5
Sam Lammers,Empoli,0.6
Nemanja Radonjic,Torino,0.1
Sebastian Walukiewicz,Empoli,2.7
Adama Soumaoro,Bologna,3.1
Bruno Amione,Sampdoria,2.2
Josip Brekalo,Fiorentina,0.2
Grigoris Kastanos,Salernitana,0.2
Adam Masina,Udinese,1.9
Roberto Soriano,Bologna,0.5
Zeki Çelik,Roma,1
Federico Ceccherini,Verona,2.4
Pablo Galdames,Cremonese,1
Mërgim Vojvoda,Torino,0.8
Luca Caldirola,Monza,2.1
Marco Benassi,Fiorentina,0.5
Enzo Barrenechea,Juventus,1
Riccardo Saponara,Fiorentina,0.3
Marco Benassi,Cremonese,1.2
Emanuele Valeri,Cremonese,0.9
Igor Julio,Fiorentina,2
Oliver Abildgaard,Verona,1.3
Kingsley Ehizibue,Udinese,1.3
Tonny Vilhena,Salernitana,0.6
Ante Rebic,AC Milan,0.2
Bram Nuytinck,Udinese,3.5
Danilo D'Ambrosio,Inter,1.1
Sofyan Amrabat,Fiorentina,0.6
Harry Winks,Sampdoria,1
Kevin Bonifazi,Bologna,2.8
Rui Patrício,Roma,0.3
Alex Cordaz,Inter,0
Michele Castagnetti,Cremonese,0.8
Jayden Braaf,Verona,0.2
Kelvin Amian,Spezia,2.5
Joshua Zirkzee,Bologna,0.2
Milan Skriniar,Inter,2.2
Abdelhamid Sabiri,Sampdoria,0.3
Filip Djuricic,Sampdoria,0.2
Daniel Maldini,Spezia,0.4
Tommaso De Nipoti,Atalanta,0
Robin Gosens,Inter,0.4
William Troost-Ekong,Salernitana,1.1
Giacomo Raspadori,Napoli,0.1
Bartosz Bereszynski,Sampdoria,1.4
Sam Lammers,Sampdoria,0.6
Salvatore Esposito,Spezia,1.1
Liberato Cacace,Empoli,0.9
Assan Ceesay,Lecce,0.6
Davide Faraoni,Verona,1.5
Karol Linetty,Torino,0.7
Paul Pogba,Juventus,0.3
Marcos Antônio,Lazio,1
Petar Stojanovic,Empoli,1.8
Koray Günter,Sampdoria,4.5
Koni De Winter,Empoli,4.5
Tommaso Pobega,AC Milan,0.6
Yann Karamoh,Torino,0
Zlatan Ibrahimovic,AC Milan,0.5
Leandro Paredes,Juventus,0.8
Nedim Bajrami,Sassuolo,0.3
Filippo Ranocchia,Monza,0.5
Adrien Tameze,Verona,1.4
Sergiño Dest,AC Milan,0.1
Dylan Bronn,Salernitana,2.3
Jean-Victor Makengo,Udinese,0.2
Alfred Duncan,Fiorentina,0.2
Mattia De Sciglio,Juventus,1
Mattia Caldara,Spezia,4.3
Gary Medel,Bologna,1.1
Tomás Rincón,Sampdoria,0.5
Miguel Veloso,Verona,0.5
Fabio Miretti,Juventus,0.3
Luca Zanimacchia,Cremonese,0.3
Joan González,Lecce,0.7
Riccardo Sottil,Fiorentina,0
Domagoj Bradaric,Salernitana,1.3
Filippo Terracciano,Verona,0.6
Joaquín Correa,Inter,0
Thomas Henry,Verona,0.9
Antonín Barák,Fiorentina,0.4
Marko Pjaca,Empoli,0.2
Pedro Obiang,Sassuolo,0.8
Cyriel Dessers,Cremonese,0.2
Andrea Pinamonti,Sassuolo,0.3
Petar Zovko,Spezia,1
Charles De Ketelaere,AC Milan,0.3
Emil Bohinen,Salernitana,0.8
Brandon Soppy,Atalanta,0.3
Fabio Depaoli,Verona,0.9
Alex Ferrari,Sampdoria,2
Jeremy Toljan,Sassuolo,1.1
Federico Di Francesco,Lecce,0.4
Albin Ekdal,Spezia,1.2
Paolo Ghiglione,Cremonese,0.8
Lameck Banda,Lecce,0.1
Diego Coppola,Verona,1.9
Dimitrios Nikolaou,Spezia,2.1
David Zima,Torino,1.2
Hamed Traorè,Sassuolo,0
Roberto Piccoli,Empoli,0.7
Samuel Iling-Junior,Juventus,0.5
Martin Hongla,Verona,0.9
José Machín,Monza,0.6
Juan Cabal,Verona,0.9
Adam Ounas,Napoli,0
Cristian Buonaiuto,Cremonese,0.2
Gianluca Gaetano,Napoli,0
Mady Camara,Roma,0.5
Michaël Cuisance,Sampdoria,0.3
Rick Karsdorp,Roma,1.2
Jacopo Fazzini,Empoli,0.6
Samuel Ntanda,Sampdoria,0
Daniel Ciofani,Cremonese,0.3
Marvin Zeegelaar,Udinese,0.7
Marlon,Monza,1.7
Nedim Bajrami,Empoli,0.2
Adolfo Gaich,Verona,0.4
Edoardo Bove,Roma,0.3
Festy Ebosele,Udinese,0.2
Luca Pellegrini,Lazio,0.4
Matteo Gabbia,AC Milan,2.4
Daniele Verde,Spezia,0.1
Martín Satriano,Empoli,0.6
Axel Guessand,Udinese,3
Pietro Ceccaroni,Lecce,1
Charles Pickel,Cremonese,0.9
Samuele Birindelli,Monza,0.8
Matías Viña,Roma,1
Moise Kean,Juventus,0.1
Junior Sambia,Salernitana,0.5
Divock Origi,AC Milan,0.5
Ruan Tressoldi,Sassuolo,3.3
Ola Solbakken,Roma,0.6
Ibrahim Sulemana,Verona,0.9
Lorenzo Venuti,Fiorentina,0.9
Domen Crnigoj,Salernitana,0.9
Andrea Consigli,Sassuolo,0.7
Enzo Ebosse,Udinese,1.2
Abdou Harroui,Sassuolo,0.4
Alessandro Zanoli,Napoli,0
Vincenzo Fiorillo,Salernitana,0
Giuseppe Pezzella,Lecce,1.6
Ilija Nestorovski,Udinese,0.5
Gian Marco Ferrari,Sassuolo,2.5
Emanuel Vignato,Empoli,0.2
Brian Bayeye,Torino,1
Gianluca Pegolo,Sassuolo,0.5
Lorenzo Colombo,Lecce,0.2
Kristian Thorstvedt,Sassuolo,0.4
Franco Carboni,Monza,0
Raoul Bellanova,Inter,0.6
Jaime Báez,Cremonese,1
Eldor Shomurodov,Spezia,0.3
Yayah Kallon,Verona,0.1
Giovanni Simeone,Napoli,0.2
Andreaw Gravillon,Torino,2.3
Tolgay Arslan,Udinese,0.2
Valerio Verre,Sampdoria,0.2
Michel Adopo,Torino,0.4
Lorenzo De Silvestri,Bologna,1
Nicolas Haas,Empoli,1
Giulio Maggiore,Salernitana,0.6
Mario Gila,Lazio,0.5
Federico Bonazzoli,Salernitana,0
Roberto Gagliardini,Inter,0.6
Gonzalo Escalante,Cremonese,0.4
Samuele Vignato,Monza,0
Luka Romero,Lazio,0.2
Francesco Rossi,Atalanta,0
Benjamin Tahirovic,Roma,0.3
Joaquín Sosa,Bologna,3
Yacine Adli,AC Milan,0.2
Szymon Zurkowski,Spezia,0.6
Emmanuel Gyasi,Spezia,0.7
Szymon Zurkowski,Fiorentina,0
Mattia Valoti,Monza,0.4
Kristjan Asllani,Inter,0.2
Andrea Belotti,Roma,0.2
Tanguy Ndombélé,Napoli,0.2
Jeison Murillo,Sampdoria,2
Kaan Ayhan,Sassuolo,2.5
Kevin Lasagna,Verona,0.4
Nicolò Cocetta,Udinese,1
Tommaso Cassandro,Lecce,0
Demba Seck,Torino,0.1
Simone Romagnoli,Lecce,1.4
Ignacio Pussetto,Sampdoria,0.6
Alberto Basso,Cremonese,0
Filippo Missori,Roma,1
Toma Basic,Lazio,0.3
Lukas Vorlicky,Atalanta,0
Liam Henderson,Empoli,0.4
Nicolò Zaniolo,Roma,0
Kristoffer Askildsen,Lecce,0.3
Giacomo Quagliata,Cremonese,0.4
Florian Thauvin,Udinese,0.1
Alessio Zerbin,Napoli,0.2
Pietro Pellegri,Torino,0.2
Petko Hristov,Spezia,1.3
Andrea Barberis,Monza,0.1
Emil Ceïde,Sassuolo,0
Grégoire Defrel,Sassuolo,0.2
Viktor Kovalenko,Spezia,0.4
Salvatore Molina,Monza,0.2
Tiémoué Bakayoko,AC Milan,0
Tio Cipot,Spezia,0.3
Emanuel Vignato,Bologna,0
Erik Botheim,Salernitana,0.1
Simone Pafundi,Udinese,0
Emirhan Ilkhan,Torino,0.5
Youssef Maleh,Lecce,0.5
Ronaldo Vieira,Sampdoria,0.6
Michel Aebischer,Bologna,0.3
Agustín Álvarez,Sassuolo,0.1
Mato Jajalo,Udinese,0.7
Warren Bondo,Monza,0
Diego Demme,Napoli,0.1
Jesé,Sampdoria,0.2
Niklas Pyyhtiä,Bologna,0.7
Francesco Caputo,Sampdoria,0.2
Marash Kumbulla,Roma,0.9
Aster Vranckx,AC Milan,0.1
Ivan Radovanovic,Salernitana,0.9
Kristijan Bistrovic,Lecce,0.4
Nicolò Rovella,Juventus,0
Fabio Quagliarella,Sampdoria,0.4
Salvador Ferrer,Spezia,0.8
Gerard Yepes,Sampdoria,0.6
Jack Hendry,Cremonese,1.8
Matteo Lovato,Salernitana,1.9
Emirhan Ilkhan,Sampdoria,0.4
Mattia Destro,Empoli,0.3
Nicola Murru,Sampdoria,1
Valentin Antov,Monza,1.6
João Moutinho,Spezia,0
Antonio Iervolino,Salernitana,0
Giulio Donati,Monza,1
Thórir Helgason,Lecce,0.3
Youssef Maleh,Fiorentina,0.3
Matteo Cancellieri,Lazio,0.1
Marios Oikonomou,Sampdoria,2.2
Alessandro Cortinovis,Verona,0
Antonio Mirante,AC Milan,0
Jordan Majchrzak,Roma,0
Alessandro Bianco,Fiorentina,0
Mert Müldür,Sassuolo,0
Tommaso Milanese,Cremonese,0
Riccardo Marchizza,Sassuolo,0.7
Hans Nicolussi Caviglia,Salernitana,0.5
Roberto Piccoli,Verona,0.3
Leandro Sanca,Spezia,0
Marco D'Alessandro,Monza,0.3
Daniele Montevago,Sampdoria,0.2
Eldor Shomurodov,Roma,0
Ronaldo Vieira,Torino,1
Gonzalo Villar,Sampdoria,0.5
Diego Valencia,Salernitana,0.2
Flavio Paoletti,Sampdoria,0.7
Lorenzo Malagrida,Sampdoria,0.2
Tommaso Barbieri,Juventus,0.3
Christian Gytkjær,Monza,0.1
Filippo Romagna,Sassuolo,1
Marcin Listkowski,Lecce,0.4
Joel Voelkerling Persson,Lecce,0
Vivaldo Semedo,Udinese,0.2
Felix Afena-Gyan,Cremonese,0.1
Karim Zedadka,Napoli,0.3
Valentín Carboni,Inter,0
David Strelec,Spezia,0
Antonio Raimondo,Bologna,0.5
Julius Beck,Spezia,0
Pablo Rodríguez,Lecce,0
Raimonds Krollis,Spezia,0
Gvidas Gineitis,Torino,0.3
Samuel Di Carmine,Cremonese,0
Leonardo Buta,Udinese,0
Mattia Zanotti,Inter,0
Deyovaisio Zeefuik,Verona,0
Mert Çetin,Lecce,1
Ajdin Hrustic,Verona,0.3
Antonín Barák,Verona,0
Duccio Degli Innocenti,Empoli,0
Herculano Nabian,Empoli,0
Marco Bertini,Lazio,0
Mihailo Ivanovic,Sampdoria,0
Niccolò Pisilli,Roma,0
Stefan Radu,Lazio,0
Telasco Segovia,Sampdoria,0
Jacopo Sala,Spezia,0.2
Emmanuel Ekong,Empoli,0
Franck Ribéry,Salernitana,0
Jacopo Segre,Torino,0
Mikael Ellertsson,Spezia,0
Federico Marchetti,Spezia,0
Andrea Carboni,Monza,0.3
Julian Kristoffersen,Salernitana,0
Christian Acella,Cremonese,0
Samir Ujkani,Empoli,0
Lorenzo Tonelli,Empoli,0
Kastriot Dermaku,Lecce,0
Manuel De Luca,Sampdoria,0
Andrea Conti,Sampdoria,0
Brandon Soppy,Udinese,1
Luca Marrone,Monza,2
Giacomo Raspadori,Sassuolo,0
Marko Lazetic,AC Milan,0
Bruno Amione,Verona,4
Alessio Cragno,Monza,0
Luís Maximiano,Lazio,0
Alessandro Russo,Sassuolo,1
